254528,256871,22
256938,258620,22
258654,258851,22
258918,260006,22
260007,260600,3
260601,262283,3
262416,262877,22
262878,263933,3
263934,265418,22
265452,266804,22
266838,267827,22
267927,270005,22
270336,270698,5
270765,271325,22
271326,271754,5
271953,272216,22
272250,272348,22
272415,273206,22
273438,273602,22
273702,274757,22
274857,277496,22
277629,279212,22
279576,280268,22
280368,280598,22
280632,281027,22
281028,281423,3
281424,282017,22
282051,282248,22
282447,282611,3
282810,283007,3
283173,283304,3
283338,283634,3
283767,284393,22
284460,284822,22
284856,285119,22
285120,288188,3
288387,288551,22
288585,288749,22
288915,289112,3
289245,289442,22
289608,290102,22
290169,291158,3
291192,291554,22
291687,292148,22
292149,292742,3
292776,293171,22
293238,293435,22
293436,293963,3
293997,294293,22
294327,294722,22
294789,294887,22
295020,295151,5
295317,295415,22
295515,296141,22
296241,296405,22
296769,296933,3
297198,297428,22
297759,297857,5
298056,298187,3
298221,298385,3
298419,298517,3
299376,299540,3
299574,299672,3
299838,301487,3
301521,302147,3
302280,302378,22
302478,302840,22
302907,303236,22
303369,303467,22
303501,303731,22
304062,304160,3
304227,304424,3
307989,308186,22
308220,308318,22
308418,309143,3
309309,309539,22
309573,310925,22
311652,311783,22
311817,312179,22
312213,312476,3
312477,312674,22
312675,312971,3
312972,313400,22
313401,313631,3
313632,318614,22
318615,318911,3
318912,319142,3
320694,320825,3
321156,321518,3
321519,321650,22
322245,323663,3
323664,323861,22
323895,324224,3
324291,324719,22
324753,325049,3
325149,325413,3
325446,325742,3
325743,327953,22
327987,328283,22
328317,328646,22
328713,328811,22
329340,330362,22
330363,330659,3
330660,331022,3
331056,332243,22
332310,334817,22
334851,334949,22
334983,335972,22
336138,336962,22
336963,337292,3
337359,337853,22
337854,338283,3
338316,339074,3
339075,339635,22
339669,340163,22
340164,341087,3
341121,342638,22
342639,343859,3
343860,344387,22
344388,350063,3
351252,351449,22
351483,352802,22
352803,354518,3
354783,355937,22
356004,357290,22
357324,357884,3
357984,358082,22
358281,358643,22
358743,359138,22
359304,359831,22
360030,360326,22
360426,361943,22
362043,362372,3
362373,362570,22
362934,363791,22
363792,364286,3
364287,365606,3
365673,366101,22
366960,367058,22
367059,367223,3
367224,370259,22
370425,370589,3
370920,371744,22
371778,372833,3
372933,373295,22
373824,375572,5
375606,376496,5
376761,376892,22
376926,377024,22
377025,377420,3
377421,377915,22
377982,378476,22
378510,378608,22
379005,379433,22
379467,379664,22
379896,380753,25
380853,381380,3
381447,381710,3
381711,383525,22
383691,384185,3
384186,385538,22
385539,385670,3
385704,388310,22
388410,389168,22
389169,389729,3
389730,390224,22
390588,391115,3
391116,391709,22
391875,392435,3
392667,393062,22
393063,393161,3
393162,393326,22
393360,393623,22
394515,394811,3
395109,396197,22
396264,397451,22
397452,397682,3
397683,399827,22
399828,400421,3
400422,400619,22
401478,401708,22
401709,401840,3
401841,402236,22
402435,403325,22
406461,406757,22
406791,406955,3
406956,407186,3
407286,407483,3
407550,407648,22
407682,407879,22
407880,408044,3
408210,408638,22
408672,408803,22
408903,410387,22
410421,410684,22
410685,411938,3
411939,412136,22
412137,413720,3
413721,414479,22
414480,414809,3
414810,416030,22
416031,416129,3
416130,416228,22
417087,418208,22
418935,419231,22
419265,420485,22
420618,420749,3
420750,422135,22
422268,422762,22
422895,425435,22
425502,425600,3
425799,426062,3
426063,427118,22
427284,427745,22
427746,427844,3
428373,428471,22
428472,429065,3
429231,429428,22
429429,429692,3
429693,431705,22
431706,431969,3
431970,433025,22
433158,435038,22
435039,435467,3
435765,435896,3
435897,437843,22
437844,440285,3
440286,441836,22
441903,442793,22
442794,442991,3
443058,443222,22
443223,443420,3
443421,443552,22
443586,447413,22
447612,447875,22
447909,448304,22
448833,449261,25
449724,449855,22
450384,450515,3
450648,451043,3
451242,451472,22
451473,451868,3
451902,452033,3
452034,452396,22
452496,455135,22
455202,455333,22
455433,456224,3
456225,456554,22
456555,456752,3
456753,457445,3
457512,458567,3
458766,459359,3
459393,461273,22
461274,461372,3
461373,461801,22
461802,463286,3
463287,466982,22
466983,467147,3
467214,467675,22
467775,467939,22
467940,468368,3
468369,469985,22
470052,470150,22
470217,470612,22
470613,471173,3
471174,472295,22
472362,472790,22
472857,473318,22
473352,473648,22
473682,473978,22
474012,474572,3
474606,477542,22
477543,478004,3
478071,478730,3
478731,480116,22
480150,480875,22
480909,481007,22
481008,481106,3
481107,481337,3
481404,482360,3
482361,482525,22
482592,482987,22
482988,483119,3
483120,483251,22
483318,485924,22
485925,486221,3
486255,486419,3
486420,489488,22
490182,490379,3
490479,490742,3
490809,491435,3
491799,491930,3
491964,492392,3
492393,493052,22
493350,493448,22
493449,493712,3
493713,494009,22
494208,494405,22
494406,494801,3
494802,495032,22
495066,496583,22
496584,496715,3
496881,497078,5
497145,497540,5
497574,497837,5
497937,498035,5
498201,498596,22
498762,499026,5
499125,499392,5
